idx,score,length,gc,frac_a,frac_t,frac_c,frac_g,entropy_bits,cpg_density,longest_run,runs_ge_5,mean_unpair_prob
4697,0.9812656044960022,100,0.66,0.13,0.21,0.37,0.29,1.9041001337631356,0.05,5,1,nan
4698,0.9981402158737183,100,0.61,0.17,0.22,0.24,0.37,1.940023805206173,0.1,3,0,nan
4699,0.9978305697441101,100,0.74,0.16,0.1,0.23,0.51,1.7383072059874127,0.1,5,1,nan
4701,0.9749510288238525,100,0.66,0.16,0.18,0.29,0.37,1.916957455645401,0.05,5,2,nan
4702,0.9925088286399841,100,0.77,0.07,0.16,0.36,0.41,1.7495720228180454,0.11,5,3,nan
4703,0.9700000286102295,100,0.66,0.24,0.1,0.2,0.46,1.8060482613492126,0.07,7,1,nan
4704,0.9986275434494019,100,0.66,0.09,0.25,0.35,0.31,1.866548980050566,0.08,4,0,nan
4705,0.9991571307182312,100,0.76,0.14,0.1,0.43,0.33,1.7806897872877323,0.15,4,0,nan
4707,0.9873552918434143,100,0.63,0.2,0.17,0.3,0.33,1.9478846497138493,0.12,4,0,nan
4708,0.9937705993652344,100,0.68,0.12,0.2,0.36,0.32,1.888102070191481,0.14,3,0,nan
4712,0.9922718405723572,100,0.71,0.14,0.15,0.39,0.32,1.8634860459891054,0.12,5,1,nan
4719,0.9721342325210571,100,0.78,0.09,0.13,0.42,0.36,1.751559458200263,0.12,6,1,nan
4720,0.9840131998062134,100,0.64,0.21,0.15,0.38,0.26,1.9191091598246608,0.08,4,0,nan
4722,0.9646391868591309,100,0.66,0.16,0.18,0.31,0.35,1.9222197773644392,0.07,4,0,nan
4723,0.9775633215904236,100,0.73,0.15,0.12,0.39,0.34,1.836582868965516,0.11,4,0,nan
4728,0.9910585284233093,100,0.62,0.19,0.19,0.29,0.33,1.9561791866908764,0.06,3,0,nan
4729,0.9795243740081787,100,0.55,0.24,0.21,0.1,0.45,1.8175518279810179,0.03,4,0,nan
4741,0.9571042060852051,100,0.75,0.08,0.17,0.38,0.37,1.787277306370893,0.11,4,0,nan
4743,0.9971410036087036,100,0.65,0.09,0.26,0.39,0.26,1.8530274208552717,0.08,7,1,nan
4744,0.9732882976531982,100,0.67,0.18,0.15,0.3,0.37,1.9076711762085634,0.08,3,0,nan
4751,0.9726815819740295,100,0.78,0.1,0.12,0.42,0.36,1.7555215621131381,0.18,5,1,nan
4753,0.9985336065292358,100,0.75,0.17,0.08,0.2,0.55,1.6648540453461316,0.07,5,1,nan
4757,0.9996404647827148,100,0.78,0.1,0.12,0.6,0.18,1.5867470225747224,0.1,5,1,nan
4761,0.997024416923523,100,0.66,0.15,0.19,0.3,0.36,1.9174761936773779,0.03,4,0,nan
4763,0.9958819150924683,100,0.55,0.25,0.2,0.18,0.37,1.9404222778112432,0.08,7,2,nan
4770,0.9928094744682312,100,0.8,0.1,0.1,0.38,0.42,1.7204847981216105,0.15,5,1,nan
4771,0.9827522039413452,100,0.73,0.13,0.14,0.28,0.45,1.8123760658038355,0.09,5,1,nan
4773,0.9746100902557373,100,0.7,0.17,0.13,0.49,0.21,1.7943358610038334,0.1,7,2,nan
4778,0.9807330369949341,100,0.7,0.15,0.15,0.42,0.28,1.8609563153489608,0.12,4,0,nan
4783,0.9909826517105103,100,0.67,0.19,0.14,0.17,0.5,1.7869234952324589,0.07,4,0,nan
4794,0.998788595199585,100,0.69,0.21,0.1,0.25,0.44,1.826162761858357,0.08,5,1,nan
4795,0.9911651611328125,100,0.56,0.18,0.26,0.38,0.18,1.9263564074302457,0.07,4,0,nan
4798,0.9568910598754883,100,0.49,0.31,0.2,0.4,0.09,1.8296052264925677,0.01,4,0,nan
4801,0.9849841594696045,100,0.62,0.24,0.14,0.31,0.31,1.9388337880737199,0.09,4,0,nan
4817,0.999709963798523,100,0.7,0.19,0.11,0.25,0.45,1.8239145433783062,0.12,5,1,nan
4819,0.9858169555664062,100,0.63,0.25,0.12,0.31,0.32,1.9168957860245732,0.13,4,0,nan
4821,0.9989945292472839,100,0.69,0.18,0.13,0.19,0.5,1.783178203715123,0.07,4,0,nan
4826,0.9964787364006042,100,0.75,0.1,0.15,0.52,0.23,1.72098188761823,0.05,6,2,nan
4832,0.9943586587905884,100,0.6,0.28,0.12,0.29,0.31,1.9229859667051294,0.09,4,0,nan
4836,0.9888713955879211,100,0.81,0.09,0.1,0.35,0.46,1.6902825744392163,0.1,7,2,nan
4838,0.9997438788414001,100,0.68,0.13,0.19,0.41,0.27,1.8752768513845506,0.06,5,1,nan
4839,0.9620442986488342,100,0.61,0.21,0.18,0.35,0.26,1.9535196480841466,0.03,3,0,nan
4841,0.9993411898612976,100,0.75,0.16,0.09,0.33,0.42,1.7891395626895474,0.09,5,1,nan
4844,0.9996366500854492,100,0.78,0.12,0.1,0.37,0.41,1.7573738130233236,0.17,5,1,nan
4846,0.9533022046089172,100,0.67,0.18,0.15,0.31,0.36,1.910262243434667,0.1,5,1,nan
4849,0.9986592531204224,100,0.6,0.22,0.18,0.28,0.32,1.966135355238774,0.11,4,0,nan
4851,0.997991144657135,100,0.67,0.18,0.15,0.39,0.28,1.8998698566414245,0.12,3,0,nan
4854,0.99913090467453,100,0.63,0.11,0.26,0.35,0.28,1.8998959509010709,0.08,5,1,nan
4857,0.999022364616394,100,0.71,0.15,0.14,0.36,0.35,1.8683708548954119,0.09,4,0,nan
4859,0.9946578145027161,100,0.71,0.14,0.15,0.48,0.23,1.8035916611061145,0.12,4,0,nan
4860,0.9976133108139038,100,0.78,0.04,0.18,0.2,0.58,1.5512550933636442,0.05,5,3,nan
4865,0.98100346326828,100,0.81,0.09,0.1,0.28,0.53,1.6445129110615555,0.15,11,1,nan
4880,0.9970603585243225,100,0.67,0.24,0.09,0.27,0.4,1.8455810759327576,0.11,4,0,nan
4881,0.977752149105072,100,0.77,0.15,0.08,0.37,0.4,1.7615536171957906,0.19,3,0,nan
4892,0.9582214951515198,100,0.7,0.15,0.15,0.43,0.27,1.8546755409861306,0.04,5,1,nan
4893,0.986802875995636,100,0.61,0.27,0.12,0.25,0.36,1.9077040161411358,0.11,4,0,nan
4896,0.9972735643386841,100,0.66,0.18,0.16,0.38,0.28,1.9129978562304168,0.06,4,0,nan
4898,0.9983795881271362,100,0.65,0.26,0.09,0.25,0.4,1.8467133275296064,0.12,3,0,nan
4906,0.9771648049354553,100,0.6,0.12,0.28,0.42,0.18,1.8522414936853613,0.07,6,2,nan
4909,0.9997989535331726,100,0.84,0.13,0.03,0.28,0.56,1.5170720168663605,0.16,4,0,nan
4916,0.987738847732544,100,0.77,0.12,0.11,0.31,0.46,1.7564838556319258,0.12,4,0,nan
4919,0.9942416548728943,100,0.56,0.2,0.24,0.33,0.23,1.9740102613427721,0.05,3,0,nan
4928,0.9964516758918762,100,0.62,0.23,0.15,0.34,0.28,1.9416066063390895,0.11,4,0,nan
4929,0.9939534664154053,100,0.76,0.12,0.12,0.45,0.31,1.7763304400333624,0.12,4,0,nan
4936,0.9989380240440369,100,0.67,0.23,0.1,0.27,0.4,1.858653266853794,0.07,5,1,nan
4941,0.9501517415046692,100,0.7,0.24,0.06,0.25,0.45,1.7560694987663432,0.07,6,1,nan
4948,0.9996713995933533,100,0.7,0.16,0.14,0.48,0.22,1.8089695442402998,0.09,5,1,nan
4952,0.997605562210083,100,0.7,0.08,0.22,0.45,0.25,1.7904832928824845,0.08,5,1,nan
4958,0.9974832534790039,100,0.6,0.2,0.2,0.21,0.39,1.931391427679963,0.05,3,0,nan
4963,0.9805504083633423,100,0.57,0.21,0.22,0.34,0.23,1.9702379589727514,0.07,5,1,nan
4966,0.9993574023246765,100,0.76,0.12,0.12,0.57,0.19,1.6516116539734633,0.1,5,1,nan
4967,0.9961409568786621,100,0.69,0.14,0.17,0.38,0.31,1.8859445063456084,0.06,4,0,nan
4973,0.9831917881965637,100,0.7,0.18,0.12,0.55,0.15,1.6972927576487291,0.04,5,3,nan
4976,0.9799495339393616,100,0.74,0.11,0.15,0.32,0.42,1.812511804816265,0.12,5,2,nan
4979,0.9936631917953491,100,0.71,0.18,0.11,0.18,0.53,1.726347870286894,0.04,5,2,nan
4981,0.9955019354820251,100,0.74,0.11,0.15,0.32,0.42,1.812511804816265,0.1,4,0,nan
4984,0.9928438663482666,100,0.71,0.1,0.19,0.21,0.5,1.7602423990608052,0.07,5,1,nan
4996,0.9961711168289185,100,0.68,0.15,0.17,0.26,0.42,1.876066273137126,0.11,5,1,nan
4998,0.9747441411018372,100,0.64,0.19,0.17,0.23,0.41,1.9048657074213584,0.08,4,0,nan
5000,0.9983852505683899,100,0.64,0.14,0.22,0.34,0.3,1.9279469998787842,0.11,4,0,nan
5004,0.9716727137565613,100,0.72,0.2,0.08,0.24,0.48,1.7582975702780197,0.08,4,0,nan
5007,0.9987178444862366,100,0.75,0.09,0.16,0.49,0.26,1.7452407893117805,0.13,4,0,nan
5012,0.9963439702987671,100,0.63,0.17,0.2,0.37,0.26,1.934989815785299,0.09,5,1,nan
